True_K_U,True_K_U_Ratio,Input_K_U,Input_K_U_Ratio,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
43241.87,2.0,127200,3.43,1.4984385497408048,1.4550027372034886,0.989158607824816
43241.87,2.0,127200,3.43,2.279540585967038,2.227291321603689,1.4836274387581005
43241.87,2.0,127200,3.43,1.6751391673259255,1.6349042556717217,1.030392537866654
43241.87,2.0,127200,3.43,1.2569876578833425,1.2314123324805029,0.8316397553402485
43241.87,2.0,127200,3.43,2.049177959953141,2.0193023005019746,1.388698229899043
43241.87,2.0,127200,3.43,0.22517448138928273,0.21963194586961224,0.1447780095381859
43241.87,2.0,127200,3.43,0.8396407156589245,0.8242963599700042,0.5373338355930741
43241.87,2.0,127200,3.43,0.7834269668774204,0.7712399344825994,0.5136288631771514
43241.87,2.0,127200,3.43,1.538985897603219,1.5109936405516318,0.9948826799445992
43241.87,2.0,127200,3.43,1.5569655451304643,1.5218190719806806,1.0222470781366093
43241.87,2.0,127200,3.43,1.7132709774525456,1.6775300851822446,1.0782950705361736
43241.87,2.0,127200,3.43,2.2836228640326435,2.2288266959030407,1.5253478985244147
43241.87,2.0,127200,3.43,2.5538988559897553,2.506932675650007,1.7032013389308363
43241.87,2.0,127200,3.43,2.1656770025793604,2.1082381907838164,1.3575735255411052
43241.87,2.0,127200,3.43,1.2994428790136436,1.2740787442880042,0.8451109701469836
43241.87,2.0,127200,3.43,2.48141198664964,2.4329507960875,1.5900016830028552
43241.87,2.0,127200,3.43,1.757048918082585,1.729961921423838,1.1392717266104597
43241.87,2.0,127200,3.43,3.3600303242403626,3.292657224529586,2.2189294068804135
43241.87,2.0,127200,3.43,2.794124300567109,2.7385941643368645,1.814724523237963
43241.87,2.0,127200,3.43,1.8004219910687032,1.7716263011886224,1.1739699240185415
43241.87,2.0,127200,3.43,1.7726177489008184,1.7399688861531024,1.1331584642230537
43241.87,2.0,127200,3.43,0.9605984242740598,0.9409273301762451,0.6347168301827858
43241.87,2.0,127200,3.43,1.9962829356389846,1.9650373669933356,1.3078102299326528
43241.87,2.0,127200,3.43,0.7146560471372335,0.7006613184570142,0.4716130812857978
43241.87,2.0,127200,3.43,2.2854435644568847,2.2396069568484895,1.5483143287415457
43241.87,2.0,127200,3.43,0.13996952352859857,0.13700349782975768,0.090947005124186
43241.87,2.0,127200,3.43,0.7770524763259953,0.7601794431475843,0.521235454497923
43241.87,2.0,127200,3.43,3.746791562156421,3.68336709296,2.4688935076851575
43241.87,2.0,127200,3.43,3.101676435094694,3.0398925455102694,2.0154421087763237
