True_M_S,True_M_S_M_U_Ratio,Input_M_S,Input_M_S_M_U_Ratio,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
84.0,3.0,208,7.429,1.4984385497408048,1.4550027372034886,4.159272933619681
84.0,3.0,208,7.429,2.279540585967038,2.227291321603689,6.558685439963868
84.0,3.0,208,7.429,1.6751391673259255,1.6349042556717217,4.8817286256149295
84.0,3.0,208,7.429,1.2569876578833425,1.2314123324805029,3.6769205973208305
84.0,3.0,208,7.429,2.049177959953141,2.0193023005019746,5.812362721915048
84.0,3.0,208,7.429,0.22517448138928273,0.21963194586961224,0.6430095611575395
84.0,3.0,208,7.429,0.8396407156589245,0.8242963599700042,2.4206367369711983
84.0,3.0,208,7.429,0.7834269668774204,0.7712399344825994,2.2549186056821937
84.0,3.0,208,7.429,1.538985897603219,1.5109936405516318,4.4818601624996255
84.0,3.0,208,7.429,1.5569655451304643,1.5218190719806806,4.51966794107248
84.0,3.0,208,7.429,1.7132709774525456,1.6775300851822446,4.952825260914699
84.0,3.0,208,7.429,2.2836228640326435,2.2288266959030407,6.521619044939523
84.0,3.0,208,7.429,2.5538988559897553,2.506932675650007,7.199497200327444
84.0,3.0,208,7.429,2.1656770025793604,2.1082381907838164,6.143903692603506
84.0,3.0,208,7.429,1.2994428790136436,1.2740787442880042,3.7063963948509335
84.0,3.0,208,7.429,2.48141198664964,2.4329507960875,7.060410673111329
84.0,3.0,208,7.429,1.757048918082585,1.729961921423838,5.030545919070623
84.0,3.0,208,7.429,3.3600303242403626,3.292657224529586,9.556902460492111
84.0,3.0,208,7.429,2.794124300567109,2.7385941643368645,7.9639943023143855
84.0,3.0,208,7.429,1.8004219910687032,1.7716263011886224,5.125041522248576
84.0,3.0,208,7.429,1.7726177489008184,1.7399688861531024,5.1114061657020295
84.0,3.0,208,7.429,0.9605984242740598,0.9409273301762451,2.722167313904509
84.0,3.0,208,7.429,1.9962829356389846,1.9650373669933356,5.785066585144253
84.0,3.0,208,7.429,0.7146560471372335,0.7006613184570142,2.0172503401885087
84.0,3.0,208,7.429,2.2854435644568847,2.2396069568484895,6.408661841111415
84.0,3.0,208,7.429,0.13996952352859857,0.13700349782975768,0.40272747606740816
