True_M_U,True_M_S_M_U_Ratio,Input_M_U,Input_M_S_M_U_Ratio,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
69.333,3.0,28,7.429,1.4984385497408048,1.4550027372034886,2.0650136320562256
69.333,3.0,28,7.429,2.279540585967038,2.227291321603689,3.128147464792787
69.333,3.0,28,7.429,1.6751391673259255,1.6349042556717217,2.323196444522896
69.333,3.0,28,7.429,1.2569876578833425,1.2314123324805029,1.6652336966112227
69.333,3.0,28,7.429,2.049177959953141,2.0193023005019746,2.995561942760821
69.333,3.0,28,7.429,0.22517448138928273,0.21963194586961224,0.303236098117944
69.333,3.0,28,7.429,0.8396407156589245,0.8242963599700042,1.1864011537839907
69.333,3.0,28,7.429,0.7834269668774204,0.7712399344825994,1.0835733199038506
69.333,3.0,28,7.429,1.538985897603219,1.5109936405516318,2.094790852489514
69.333,3.0,28,7.429,1.5569655451304643,1.5218190719806806,2.2802020324050853
69.333,3.0,28,7.429,1.7132709774525456,1.6775300851822446,2.2891652978402046
69.333,3.0,28,7.429,2.2836228640326435,2.2288266959030407,2.9683832460979382
69.333,3.0,28,7.429,2.5538988559897553,2.506932675650007,3.4136200496815303
69.333,3.0,28,7.429,2.1656770025793604,2.1082381907838164,2.980320914021264
69.333,3.0,28,7.429,1.2994428790136436,1.2740787442880042,1.7201590848100268
69.333,3.0,28,7.429,2.48141198664964,2.4329507960875,3.3734259750899103
69.333,3.0,28,7.429,1.757048918082585,1.729961921423838,2.414709204282147
69.333,3.0,28,7.429,3.3600303242403626,3.292657224529586,4.427193879474352
69.333,3.0,28,7.429,2.794124300567109,2.7385941643368645,3.82615860182119
69.333,3.0,28,7.429,1.8004219910687032,1.7716263011886224,2.4615215842089606
69.333,3.0,28,7.429,1.7726177489008184,1.7399688861531024,2.421495144131767
69.333,3.0,28,7.429,0.9605984242740598,0.9409273301762451,1.285340791870328
69.333,3.0,28,7.429,1.9962829356389846,1.9650373669933356,2.780564403127282
69.333,3.0,28,7.429,0.7146560471372335,0.7006613184570142,0.9962756862738182
69.333,3.0,28,7.429,2.2854435644568847,2.2396069568484895,3.1652782199192666
69.333,3.0,28,7.429,0.13996952352859857,0.13700349782975768,0.1895093658739256
69.333,3.0,28,7.429,0.7770524763259953,0.7601794431475843,1.0652851451616612
69.333,3.0,28,7.429,3.746791562156421,3.68336709296,5.315822347154119
69.333,3.0,28,7.429,3.101676435094694,3.0398925455102694,4.190162987826632
69.333,3.0,28,7.429,3.3268485137879704,3.2643409560361096,4.502305510573899
69.333,3.0,28,7.429,0.17260024785765354,0.1694737318902903,0.24869156709609652
69.333,3.0,28,7.429,0.4502466235052151,0.44161811780679855,0.6133486607746506
69.333,3.0,28,7.429,0.5037086454352715,0.4939332075753878,0.7175194464413662
69.333,3.0,28,7.429,3.938073794256384,3.8854497065108866,5.6955421402069115
69.333,3.0,28,7.429,4.42780951147841,4.34597858157897,6.160827015031395
69.333,3.0,28,7.429,4.688181253326136,4.605681981868004,6.356410871545297
69.333,3.0,28,7.429,4.679743389858256,4.599852636264414,6.473603708114842
69.333,3.0,28,7.429,4.152393904222051,4.08992556624163,5.715720260337267
69.333,3.0,28,7.429,4.3983132023481915,4.324787340142039,6.063993507142565
69.333,3.0,28,7.429,5.50572272832788,5.410096907298094,7.750349829676534
69.333,3.0,28,7.429,5.2124194018011405,5.126814437836378,7.099939969906057
69.333,3.0,28,7.429,4.058927579908129,3.9780903900283584,5.5832825982233665
69.333,3.0,28,7.429,5.229487888189269,5.112968415536107,7.411464420328298
69.333,3.0,28,7.429,4.345279889652502,4.257731017756678,5.958045155518936
69.333,3.0,28,7.429,4.716777844191145,4.6448858370875685,6.398910075938502
69.333,3.0,28,7.429,5.732982974851909,5.63312625179297,7.999113776843318
69.333,3.0,28,7.429,4.374512503735991,4.29921918731741,5.881497805995838
69.333,3.0,28,7.429,4.316586870416358,4.232260610781126,5.8306526366010765
69.333,3.0,28,7.429,4.767367995444496,4.695411057847784,6.606614429618648
69.333,3.0,28,7.429,6.028178273087421,5.875975873697038,8.534840626819717
69.333,3.0,28,7.429,5.942798077758004,5.837687458277698,8.25466116968084
69.333,3.0,28,7.429,4.649853125185503,4.5922262422855225,6.311251184615237
69.333,3.0,28,7.429,5.64068732122567,5.536721292616395,7.6352751074408225
69.333,3.0,28,7.429,3.85094912156503,3.7686559336172505,4.977169137313069
69.333,3.0,28,7.429,4.564458458184601,4.484907225998994,6.536336703262347
69.333,3.0,28,7.429,5.7600803794276185,5.636585168863498,7.899649221375309
69.333,3.0,28,7.429,4.5363335392826825,4.437914378562387,6.1415899671923135
69.333,3.0,28,7.429,4.85293412830562,4.788664174769963,6.314972366290148
69.333,3.0,28,7.429,5.253806555660671,5.149399847502722,7.19616828276148
69.333,3.0,28,7.429,5.932108531394192,5.832209865635223,8.567679968601988
69.333,3.0,28,7.429,4.936539523537977,4.847768869634312,7.106906896526444
69.333,3.0,28,7.429,4.047292520687275,3.976113699873068,5.735681309889332
69.333,3.0,28,7.429,3.8947537986844036,3.80699920999724,5.16232782362503
69.333,3.0,28,7.429,4.457248930070845,4.386722054075139,6.146434018564795
69.333,3.0,28,7.429,5.033390955691866,4.960213366648264,6.78470958871953
69.333,3.0,28,7.429,3.3348422536167397,3.264279993331141,4.4428175247864425
69.333,3.0,28,7.429,7.661449832747567,7.457615595274724,10.14044653611247
69.333,3.0,28,7.429,9.17068800514708,9.008846711666443,13.13451490342275
69.333,3.0,28,7.429,7.783729001547114,7.651940652467538,10.525483380286303
69.333,3.0,28,7.429,8.89630366756205,8.740941159318504,12.187927933401847
69.333,3.0,28,7.429,8.59272447570084,8.416858249989188,12.48657480196509
69.333,3.0,28,7.429,6.119409915540167,6.034784786571252,8.648335251500146
69.333,3.0,28,7.429,9.202490771294398,9.051542806975824,13.54134938919542
69.333,3.0,28,7.429,8.708751858985133,8.5588886560723,11.80622505875468
69.333,3.0,28,7.429,7.756599472928511,7.628066264511674,11.251592902451163
69.333,3.0,28,7.429,7.034859192038396,6.877581447423329,9.109876707613598
69.333,3.0,28,7.429,7.721921471038906,7.546296035380347,11.259220871243347
69.333,3.0,28,7.429,8.549257396575253,8.340794285309443,11.454933452929218
69.333,3.0,28,7.429,8.976005853554874,8.795106517216446,11.813886029501177
69.333,3.0,28,7.429,8.077949204654352,7.9250191102114655,11.61171361786471
69.333,3.0,28,7.429,8.828930897974965,8.662819927796216,12.139036362208401
69.333,3.0,28,7.429,8.489550366144636,8.305872170955976,11.834128083176504
69.333,3.0,28,7.429,8.075969292713214,7.89581257349522,11.502233553498655
69.333,3.0,28,7.429,7.9076031330728425,7.741881750661067,10.805054718439864
69.333,3.0,28,7.429,8.003751348359506,7.820197858439646,10.939880657768084
69.333,3.0,28,7.429,8.11506501421495,7.93650918093272,10.983241343475148
69.333,3.0,28,7.429,7.115621411705112,6.96414678494574,9.79954690635664
69.333,3.0,28,7.429,6.875847858874166,6.781330670515654,9.522409762538933
69.333,3.0,28,7.429,7.41219230002382,7.284370892751463,9.986565852978034
69.333,3.0,28,7.429,8.551820827782509,8.381843057323582,11.98052870161161
69.333,3.0,28,7.429,7.570049663959958,7.444494318609974,9.707633049386153
69.333,3.0,28,7.429,7.071235108418641,6.936910276896123,9.686194742063014
69.333,3.0,28,7.429,9.473282011385349,9.264737460416987,13.029140530796425
69.333,3.0,28,7.429,6.693958347551518,6.554307086924314,8.95767963870444
69.333,3.0,28,7.429,7.378930348965102,7.2556508320289,9.532890326795624
69.333,3.0,28,7.429,7.6136050657021554,7.48646254732918,10.588529518220152
69.333,3.0,28,7.429,7.295109892985118,7.197467997814282,10.039272262173846
69.333,3.0,28,7.429,8.125610664303052,8.010878933911316,11.492715473431854
69.333,3.0,28,7.429,8.110604637190185,7.947489993105281,10.852101465971273
69.333,3.0,28,7.429,8.018554292995736,7.888826293450631,10.73558326565086
59.429,3.5,28,7.429,1.4984385497408048,1.4550027372034886,1.9929625922180545
59.429,3.5,28,7.429,2.279540585967038,2.227291321603689,3.0121418047155557
59.429,3.5,28,7.429,1.6751391673259255,1.6349042556717217,2.3019885815057117
59.429,3.5,28,7.429,1.2569876578833425,1.2314123324805029,1.6293332966673832
59.429,3.5,28,7.429,2.049177959953141,2.0193023005019746,2.7918818854460614
59.429,3.5,28,7.429,0.22517448138928273,0.21963194586961224,0.2984839550606981
59.429,3.5,28,7.429,0.8396407156589245,0.8242963599700042,1.1444859188983532
59.429,3.5,28,7.429,0.7834269668774204,0.7712399344825994,1.0446717410164332
59.429,3.5,28,7.429,1.538985897603219,1.5109936405516318,2.0375155625551087
59.429,3.5,28,7.429,1.5569655451304643,1.5218190719806806,2.1550873700222333
59.429,3.5,28,7.429,1.7132709774525456,1.6775300851822446,2.2389146739451644
59.429,3.5,28,7.429,2.2836228640326435,2.2288266959030407,2.940302359243514
59.429,3.5,28,7.429,2.5538988559897553,2.506932675650007,3.290346501605172
59.429,3.5,28,7.429,2.1656770025793604,2.1082381907838164,2.940324653838505
59.429,3.5,28,7.429,1.2994428790136436,1.2740787442880042,1.689084898436726
59.429,3.5,28,7.429,2.48141198664964,2.4329507960875,3.2660872090396467
59.429,3.5,28,7.429,1.757048918082585,1.729961921423838,2.3255426883614265
59.429,3.5,28,7.429,3.3600303242403626,3.292657224529586,4.317105739160521
59.429,3.5,28,7.429,2.794124300567109,2.7385941643368645,3.689570731400341
59.429,3.5,28,7.429,1.8004219910687032,1.7716263011886224,2.3817663366474604
59.429,3.5,28,7.429,1.7726177489008184,1.7399688861531024,2.348136039355458
59.429,3.5,28,7.429,0.9605984242740598,0.9409273301762451,1.245165222255354
59.429,3.5,28,7.429,1.9962829356389846,1.9650373669933356,2.6429428347396966
59.429,3.5,28,7.429,0.7146560471372335,0.7006613184570142,0.9504209351807658
59.429,3.5,28,7.429,2.2854435644568847,2.2396069568484895,3.070440061987578
59.429,3.5,28,7.429,0.13996952352859857,0.13700349782975768,0.1834687035052064
59.429,3.5,28,7.429,0.7770524763259953,0.7601794431475843,1.0056373105224914
59.429,3.5,28,7.429,3.746791562156421,3.68336709296,5.0514291287723285
59.429,3.5,28,7.429,3.101676435094694,3.0398925455102694,3.997914611355369
59.429,3.5,28,7.429,3.3268485137879704,3.2643409560361096,4.340416703854203
59.429,3.5,28,7.429,0.17260024785765354,0.1694737318902903,0.2369217491217258
59.429,3.5,28,7.429,0.4502466235052151,0.44161811780679855,0.6005860015647931
59.429,3.5,28,7.429,0.5037086454352715,0.4939332075753878,0.6829701490025979
59.429,3.5,28,7.429,3.938073794256384,3.8854497065108866,5.36812323821304
59.429,3.5,28,7.429,4.42780951147841,4.34597858157897,5.855608317695119
59.429,3.5,28,7.429,4.688181253326136,4.605681981868004,6.0837098394417595
59.429,3.5,28,7.429,4.679743389858256,4.599852636264414,6.348830522393424
59.429,3.5,28,7.429,4.152393904222051,4.08992556624163,5.435690353638752
59.429,3.5,28,7.429,4.3983132023481915,4.324787340142039,5.815241712125979
59.429,3.5,28,7.429,5.50572272832788,5.410096907298094,7.381272187011556
59.429,3.5,28,7.429,5.2124194018011405,5.126814437836378,6.99212375522565
59.429,3.5,28,7.429,4.058927579908129,3.9780903900283584,5.380218067835344
59.429,3.5,28,7.429,5.229487888189269,5.112968415536107,7.0759028130584305
59.429,3.5,28,7.429,4.345279889652502,4.257731017756678,5.781098810022992
59.429,3.5,28,7.429,4.716777844191145,4.6448858370875685,6.218201323783337
59.429,3.5,28,7.429,5.732982974851909,5.63312625179297,7.697071870164652
59.429,3.5,28,7.429,4.374512503735991,4.29921918731741,5.744988383069719
59.429,3.5,28,7.429,4.316586870416358,4.232260610781126,5.67590804539175
59.429,3.5,28,7.429,4.767367995444496,4.695411057847784,6.421511049354182
59.429,3.5,28,7.429,6.028178273087421,5.875975873697038,8.103961186765392
59.429,3.5,28,7.429,5.942798077758004,5.837687458277698,7.91781456159208
59.429,3.5,28,7.429,4.649853125185503,4.5922262422855225,6.158756439386856
59.429,3.5,28,7.429,5.64068732122567,5.536721292616395,7.4504154548136485
59.429,3.5,28,7.429,3.85094912156503,3.7686559336172505,4.86806063614352
59.429,3.5,28,7.429,4.564458458184601,4.484907225998994,6.223746660080605
59.429,3.5,28,7.429,5.7600803794276185,5.636585168863498,7.621775151187854
59.429,3.5,28,7.429,4.5363335392826825,4.437914378562387,5.968890527108544
59.429,3.5,28,7.429,4.85293412830562,4.788664174769963,6.169486211674841
59.429,3.5,28,7.429,5.253806555660671,5.149399847502722,6.972646657897801
59.429,3.5,28,7.429,5.932108531394192,5.832209865635223,8.254935034135366
59.429,3.5,28,7.429,4.936539523537977,4.847768869634312,6.802823539082589
59.429,3.5,28,7.429,4.047292520687275,3.976113699873068,5.43017433256251
59.429,3.5,28,7.429,3.8947537986844036,3.80699920999724,5.0923205798577404
59.429,3.5,28,7.429,4.457248930070845,4.386722054075139,5.94947353495964
59.429,3.5,28,7.429,5.033390955691866,4.960213366648264,6.568896146832717
59.429,3.5,28,7.429,3.3348422536167397,3.264279993331141,4.302240483694966
59.429,3.5,28,7.429,7.661449832747567,7.457615595274724,9.964019894845801
59.429,3.5,28,7.429,9.17068800514708,9.008846711666443,12.344104476128148
59.429,3.5,28,7.429,7.783729001547114,7.651940652467538,9.986044871493334
59.429,3.5,28,7.429,8.89630366756205,8.740941159318504,11.572517026422124
59.429,3.5,28,7.429,8.59272447570084,8.416858249989188,11.864611735909536
59.429,3.5,28,7.429,6.119409915540167,6.034784786571252,8.310806641421328
59.429,3.5,28,7.429,9.202490771294398,9.051542806975824,12.83445766842879
59.429,3.5,28,7.429,8.708751858985133,8.5588886560723,11.653684021572339
59.429,3.5,28,7.429,7.756599472928511,7.628066264511674,10.761688889817428
59.429,3.5,28,7.429,7.034859192038396,6.877581447423329,8.868416148077976
59.429,3.5,28,7.429,7.721921471038906,7.546296035380347,10.562116810268156
59.429,3.5,28,7.429,8.549257396575253,8.340794285309443,11.237125484655033
59.429,3.5,28,7.429,8.976005853554874,8.795106517216446,11.334175509827988
59.429,3.5,28,7.429,8.077949204654352,7.9250191102114655,11.11414160115606
59.429,3.5,28,7.429,8.828930897974965,8.662819927796216,11.722068807464717
59.429,3.5,28,7.429,8.489550366144636,8.305872170955976,11.193477163580237
59.429,3.5,28,7.429,8.075969292713214,7.89581257349522,11.100693232430293
59.429,3.5,28,7.429,7.9076031330728425,7.741881750661067,10.313657157895427
59.429,3.5,28,7.429,8.003751348359506,7.820197858439646,10.379210355775314
59.429,3.5,28,7.429,8.11506501421495,7.93650918093272,10.632482089346784
59.429,3.5,28,7.429,7.115621411705112,6.96414678494574,9.422165277353288
59.429,3.5,28,7.429,6.875847858874166,6.781330670515654,9.159801047713323
59.429,3.5,28,7.429,7.41219230002382,7.284370892751463,9.537107010460646
59.429,3.5,28,7.429,8.551820827782509,8.381843057323582,11.435633363160637
59.429,3.5,28,7.429,7.570049663959958,7.444494318609974,9.772808125869119
59.429,3.5,28,7.429,7.071235108418641,6.936910276896123,9.373635600685931
59.429,3.5,28,7.429,9.473282011385349,9.264737460416987,12.630380859346346
59.429,3.5,28,7.429,6.693958347551518,6.554307086924314,8.799038185140015
59.429,3.5,28,7.429,7.378930348965102,7.2556508320289,9.326198998228964
59.429,3.5,28,7.429,7.6136050657021554,7.48646254732918,10.270414073388933
59.429,3.5,28,7.429,7.295109892985118,7.197467997814282,9.821162201766102
59.429,3.5,28,7.429,8.125610664303052,8.010878933911316,11.188329665175875
59.429,3.5,28,7.429,8.110604637190185,7.947489993105281,10.331695198347326
59.429,3.5,28,7.429,8.018554292995736,7.888826293450631,10.39764394379377
52.0,4.0,28,7.429,1.4984385497408048,1.4550027372034886,1.913007600882323
52.0,4.0,28,7.429,2.279540585967038,2.227291321603689,2.899650905164671
52.0,4.0,28,7.429,1.6751391673259255,1.6349042556717217,2.2408249213461544
52.0,4.0,28,7.429,1.2569876578833425,1.2314123324805029,1.5893706315070237
52.0,4.0,28,7.429,2.049177959953141,2.0193023005019746,2.639052369365545
52.0,4.0,28,7.429,0.22517448138928273,0.21963194586961224,0.2906084716321403
52.0,4.0,28,7.429,0.8396407156589245,0.8242963599700042,1.0972525661602393
52.0,4.0,28,7.429,0.7834269668774204,0.7712399344825994,1.0013440048777478
52.0,4.0,28,7.429,1.538985897603219,1.5109936405516318,1.9696274778054474
52.0,4.0,28,7.429,1.5569655451304643,1.5218190719806806,2.0369730540277975
52.0,4.0,28,7.429,1.7132709774525456,1.6775300851822446,2.184329635212144
52.0,4.0,28,7.429,2.2836228640326435,2.2288266959030407,2.892818834351763
52.0,4.0,28,7.429,2.5538988559897553,2.506932675650007,3.1801330904945315
52.0,4.0,28,7.429,2.1656770025793604,2.1082381907838164,2.8457913474491248
52.0,4.0,28,7.429,1.2994428790136436,1.2740787442880042,1.6422458992399662
52.0,4.0,28,7.429,2.48141198664964,2.4329507960875,3.162939871889524
52.0,4.0,28,7.429,1.757048918082585,1.729961921423838,2.238754592899728
52.0,4.0,28,7.429,3.3600303242403626,3.292657224529586,4.2108377788314755
52.0,4.0,28,7.429,2.794124300567109,2.7385941643368645,3.557547757313036
52.0,4.0,28,7.429,1.8004219910687032,1.7716263011886224,2.2953877941418375
52.0,4.0,28,7.429,1.7726177489008184,1.7399688861531024,2.2653044171707997
52.0,4.0,28,7.429,0.9605984242740598,0.9409273301762451,1.204850788888932
52.0,4.0,28,7.429,1.9962829356389846,1.9650373669933356,2.527218077264683
52.0,4.0,28,7.429,0.7146560471372335,0.7006613184570142,0.9090743954840733
52.0,4.0,28,7.429,2.2854435644568847,2.2396069568484895,2.9605621715427284
52.0,4.0,28,7.429,0.13996952352859857,0.13700349782975768,0.1775636149233775
52.0,4.0,28,7.429,0.7770524763259953,0.7601794431475843,0.9598935529618368
52.0,4.0,28,7.429,3.746791562156421,3.68336709296,4.835263916062395
52.0,4.0,28,7.429,3.101676435094694,3.0398925455102694,3.87170200101206
52.0,4.0,28,7.429,3.3268485137879704,3.2643409560361096,4.1824362460423306
52.0,4.0,28,7.429,0.17260024785765354,0.1694737318902903,0.22461742038829627
52.0,4.0,28,7.429,0.4502466235052151,0.44161811780679855,0.5813353269504035
52.0,4.0,28,7.429,0.5037086454352715,0.4939332075753878,0.6526442201487638
52.0,4.0,28,7.429,3.938073794256384,3.8854497065108866,5.089059703939363
52.0,4.0,28,7.429,4.42780951147841,4.34597858157897,5.605711870190293
52.0,4.0,28,7.429,4.688181253326136,4.605681981868004,5.867242969331529
52.0,4.0,28,7.429,4.679743389858256,4.599852636264414,6.140386924095054
52.0,4.0,28,7.429,4.152393904222051,4.08992556624163,5.195500699526436
52.0,4.0,28,7.429,4.3983132023481915,4.324787340142039,5.554915975584739
52.0,4.0,28,7.429,5.50572272832788,5.410096907298094,7.021803054945365
