True_C_S,True_Xi,Input_C_X,Input_Xi,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
394.536,0.1,1300,0.33,1.4984385497408048,1.4550860899993514,1.2039803187190183
394.536,0.1,1300,0.33,2.279540585967038,2.227282457103679,1.499171575073356
394.536,0.1,1300,0.33,1.6751391673259255,1.6349122995744498,1.1102290454075847
394.536,0.1,1300,0.33,1.2569876578833425,1.231482171663769,0.8923029954844781
394.536,0.1,1300,0.33,2.049177959953141,2.0194264534509276,1.3016726190849095
394.536,0.1,1300,0.33,0.22517448138928273,0.2196093775188329,0.15149538566279008
394.536,0.1,1300,0.33,0.8396407156589245,0.8242799696721378,0.5661577630202825
394.536,0.1,1300,0.33,0.7834269668774204,0.7712877948925868,0.5265668890038232
394.536,0.1,1300,0.33,1.538985897603219,1.5111958712176081,1.090736937057215
394.536,0.1,1300,0.33,1.5569655451304643,1.5219573205560022,1.0808736381048265
394.536,0.1,1300,0.33,1.7132709774525456,1.677542118536771,1.1646956595024487
394.536,0.1,1300,0.33,2.2836228640326435,2.2288062522155005,1.7983723431351024
394.536,0.1,1300,0.33,2.5538988559897553,2.5068314630186217,1.882071986175204
394.536,0.1,1300,0.33,2.1656770025793604,2.108038634550357,1.5326182033165072
394.536,0.1,1300,0.33,1.2994428790136436,1.2740641911483308,0.9276200897639771
394.536,0.1,1300,0.33,2.48141198664964,2.4330043567268564,1.70157303801955
394.536,0.1,1300,0.33,1.757048918082585,1.7301469241196425,1.2050499386456743
394.536,0.1,1300,0.33,3.3600303242403626,3.292598510100461,2.2337200491059592
394.536,0.1,1300,0.33,2.794124300567109,2.738657767681549,1.9748140612147314
394.536,0.1,1300,0.33,1.8004219910687032,1.7715979901089784,1.2186005020472321
394.536,0.1,1300,0.33,1.7726177489008184,1.7400301471619128,1.2172630900856505
394.536,0.1,1300,0.33,0.9605984242740598,0.9410121519026675,0.7316769402980661
394.536,0.1,1300,0.33,1.9962829356389846,1.9652717907704453,1.357387856044048
394.536,0.1,1300,0.33,0.7146560471372335,0.700703715889923,0.4962132608464216
394.536,0.1,1300,0.33,2.2854435644568847,2.2394974397866054,1.6568211631499405
394.536,0.1,1300,0.33,0.13996952352859857,0.13700528096827178,0.0984366757905024
394.536,0.1,1300,0.33,0.7770524763259953,0.7602900834941724,0.5502242482942837
394.536,0.1,1300,0.33,3.746791562156421,3.683626635192792,2.5858033093161668
394.536,0.1,1300,0.33,3.101676435094694,3.0396504187403486,2.304964553317
394.536,0.1,1300,0.33,3.3268485137879704,3.2641744072882344,2.3606654836792766
394.536,0.1,1300,0.33,0.17260024785765354,0.16947503569055358,0.1150606503685071
394.536,0.1,1300,0.33,0.4502466235052151,0.4416124612533724,0.3348938204692094
394.536,0.1,1300,0.33,0.5037086454352715,0.49394393633413647,0.3590586496554201
394.536,0.1,1300,0.33,3.938073794256384,3.8852510992783023,2.8499508197649215
394.536,0.1,1300,0.33,4.42780951147841,4.345358312489604,3.2029237736825067
394.536,0.1,1300,0.33,4.688181253326136,4.605947147673976,3.4594368768739705
394.536,0.1,1300,0.33,4.679743389858256,4.599136804364471,3.2432305032931548
394.536,0.1,1300,0.33,4.152393904222051,4.090221897661525,3.0113438168924973
394.536,0.1,1300,0.33,4.3983132023481915,4.324935114113417,2.925928576018961
394.536,0.1,1300,0.33,5.50572272832788,5.410099129674725,3.82759164311092
394.536,0.1,1300,0.33,5.2124194018011405,5.126726870125369,3.756296130828139
394.536,0.1,1300,0.33,4.058927579908129,3.9775856516666317,2.9697917360024237
394.536,0.1,1300,0.33,5.229487888189269,5.113011515332458,3.831514997007405
394.536,0.1,1300,0.33,4.345279889652502,4.257565998509981,3.1383737359799597
394.536,0.1,1300,0.33,4.716777844191145,4.644517935718598,3.182991162146505
394.536,0.1,1300,0.33,5.732982974851909,5.633192482747276,4.066744666555575
394.536,0.1,1300,0.33,4.374512503735991,4.299496762038216,3.0956570275847444
394.536,0.1,1300,0.33,4.316586870416358,4.230592846622747,3.277023235629154
394.536,0.1,1300,0.33,4.767367995444496,4.6952309735408715,3.3966487133136205
394.536,0.1,1300,0.33,6.028178273087421,5.876346588571987,4.290546306232893
394.536,0.1,1300,0.33,5.942798077758004,5.8376112616153035,4.055380162770107
394.536,0.1,1300,0.33,4.649853125185503,4.591733423271698,3.4292402921266705
394.536,0.1,1300,0.33,5.64068732122567,5.538238126301387,3.804305348764695
394.536,0.1,1300,0.33,3.85094912156503,3.7686779647679827,2.95770100483566
394.536,0.1,1300,0.33,4.564458458184601,4.484769283323523,2.9365063177945836
394.536,0.1,1300,0.33,5.7600803794276185,5.636534243266479,4.146283353445586
394.536,0.1,1300,0.33,4.5363335392826825,4.437764387620612,3.3563593281643502
394.536,0.1,1300,0.33,4.85293412830562,4.78875568122085,3.352710993496306
394.536,0.1,1300,0.33,5.253806555660671,5.149056444252005,3.746593530707341
394.536,0.1,1300,0.33,5.932108531394192,5.831792007293517,3.7094817032483953
394.536,0.1,1300,0.33,4.936539523537977,4.847633146987517,3.484413991585288
394.536,0.1,1300,0.33,4.047292520687275,3.9761165232481317,2.722666624951263
394.536,0.1,1300,0.33,3.8947537986844036,3.8070886243233675,2.8454630015454008
394.536,0.1,1300,0.33,4.457248930070845,4.386729599126238,3.0649211331493738
394.536,0.1,1300,0.33,5.033390955691866,4.959736041848303,3.483066338191186
394.536,0.1,1300,0.33,3.3348422536167397,3.2645738876054464,2.3273765814135845
394.536,0.1,1300,0.33,7.661449832747567,7.456931872645597,5.121147747139209
394.536,0.1,1300,0.33,9.17068800514708,9.009733591191615,6.290018450435654
394.536,0.1,1300,0.33,7.783729001547114,7.652870580530572,5.611853808978824
394.536,0.1,1300,0.33,8.89630366756205,8.740964439740925,6.696424896803018
394.536,0.1,1300,0.33,8.59272447570084,8.416703992314677,5.743090934673945
394.536,0.1,1300,0.33,6.119409915540167,6.035372015671034,4.053236349280196
394.536,0.1,1300,0.33,9.202490771294398,9.053139998787774,5.968730232242172
394.536,0.1,1300,0.33,8.708751858985133,8.559142453376829,6.990624156451531
394.536,0.1,1300,0.33,7.756599472928511,7.627659654728857,5.196665787725133
394.536,0.1,1300,0.33,7.034859192038396,6.877633333089351,5.2253698401726
394.536,0.1,1300,0.33,7.721921471038906,7.545930092375941,4.985120082202222
394.536,0.1,1300,0.33,8.549257396575253,8.341512314236793,6.442718471748796
394.536,0.1,1300,0.33,8.976005853554874,8.794928991941529,6.371152019018685
394.536,0.1,1300,0.33,8.077949204654352,7.923659840533216,5.249411252546682
394.536,0.1,1300,0.33,8.828930897974965,8.66371914226252,6.322688013054102
394.536,0.1,1300,0.33,8.489550366144636,8.305141943054897,6.031893969003464
394.536,0.1,1300,0.33,8.075969292713214,7.894955147428341,5.082793649251838
394.536,0.1,1300,0.33,7.9076031330728425,7.741885549923215,5.628743738905676
394.536,0.1,1300,0.33,8.003751348359506,7.820415145584489,5.993282485580436
394.536,0.1,1300,0.33,8.11506501421495,7.938151257975872,6.09568858558914
394.536,0.1,1300,0.33,7.115621411705112,6.964349507965211,5.714487205959274
394.536,0.1,1300,0.33,6.875847858874166,6.781341488437277,5.014366925464453
394.536,0.1,1300,0.33,7.41219230002382,7.2819367951954215,5.534085514449896
394.536,0.1,1300,0.33,8.551820827782509,8.381228652950636,6.630737470853801
394.536,0.1,1300,0.33,7.570049663959958,7.444766616443905,5.418197161222464
394.536,0.1,1300,0.33,7.071235108418641,6.9363730563384545,5.030987285476961
394.536,0.1,1300,0.33,9.473282011385349,9.264497655134043,6.26418273387317
394.536,0.1,1300,0.33,6.693958347551518,6.554359221953507,5.134223264539131
394.536,0.1,1300,0.33,7.378930348965102,7.255881931623655,5.493436189368398
394.536,0.1,1300,0.33,7.6136050657021554,7.486395182364716,5.878094223251896
394.536,0.1,1300,0.33,7.295109892985118,7.197715690374356,5.324074039647583
394.536,0.1,1300,0.33,8.125610664303052,8.011181200499085,6.194454720368917
394.536,0.1,1300,0.33,8.110604637190185,7.944716129611949,5.732920945715988
394.536,0.1,1300,0.33,8.018554292995736,7.886599472946375,5.613335864111556
1183.609,0.3,1300,0.33,1.4984385497408048,1.4550860899993514,1.5342893337420425
1183.609,0.3,1300,0.33,2.279540585967038,2.227282457103679,2.3033523968373033
1183.609,0.3,1300,0.33,1.6751391673259255,1.6349122995744498,1.7191484563434785
1183.609,0.3,1300,0.33,1.2569876578833425,1.231482171663769,1.2949520087012918
1183.609,0.3,1300,0.33,2.049177959953141,2.0194264534509276,2.029867631839251
1183.609,0.3,1300,0.33,0.22517448138928273,0.2196093775188329,0.22973121799173118
1183.609,0.3,1300,0.33,0.8396407156589245,0.8242799696721378,0.8526360787688578
1183.609,0.3,1300,0.33,0.7834269668774204,0.7712877948925868,0.7942974145298884
1183.609,0.3,1300,0.33,1.538985897603219,1.5111958712176081,1.5603669221721248
1183.609,0.3,1300,0.33,1.5569655451304643,1.5219573205560022,1.5892750356427208
1183.609,0.3,1300,0.33,1.7132709774525456,1.677542118536771,1.7812296805284595
1183.609,0.3,1300,0.33,2.2836228640326435,2.2288062522155005,2.3677823530637974
1183.609,0.3,1300,0.33,2.5538988559897553,2.5068314630186217,2.6080344455197815
1183.609,0.3,1300,0.33,2.1656770025793604,2.108038634550357,2.2265933342232036
1183.609,0.3,1300,0.33,1.2994428790136436,1.2740641911483308,1.3393126531488562
1183.609,0.3,1300,0.33,2.48141198664964,2.4330043567268564,2.5357708171614064
1183.609,0.3,1300,0.33,1.757048918082585,1.7301469241196425,1.7909776345730142
1183.609,0.3,1300,0.33,3.3600303242403626,3.292598510100461,3.397738930749032
1183.609,0.3,1300,0.33,2.794124300567109,2.738657767681549,2.8611178949753677
1183.609,0.3,1300,0.33,1.8004219910687032,1.7715979901089784,1.8591367495368543
1183.609,0.3,1300,0.33,1.7726177489008184,1.7400301471619128,1.8287622439065647
1183.609,0.3,1300,0.33,0.9605984242740598,0.9410121519026675,0.9945448611963488
1183.609,0.3,1300,0.33,1.9962829356389846,1.9652717907704453,2.0228263016606114
1183.609,0.3,1300,0.33,0.7146560471372335,0.700703715889923,0.721060204182173
1183.609,0.3,1300,0.33,2.2854435644568847,2.2394974397866054,2.2930063957087055
1183.609,0.3,1300,0.33,0.13996952352859857,0.13700528096827178,0.14394037778588084
1183.609,0.3,1300,0.33,0.7770524763259953,0.7602900834941724,0.7967054464816963
1183.609,0.3,1300,0.33,3.746791562156421,3.683626635192792,3.8123670072350304
1183.609,0.3,1300,0.33,3.101676435094694,3.0396504187403486,3.26969001104367
1183.609,0.3,1300,0.33,3.3268485137879704,3.2641744072882344,3.398063373710815
1183.609,0.3,1300,0.33,0.17260024785765354,0.16947503569055358,0.17463538077883797
1183.609,0.3,1300,0.33,0.4502466235052151,0.4416124612533724,0.46932091368103707
1183.609,0.3,1300,0.33,0.5037086454352715,0.49394393633413647,0.5162776026714032
1183.609,0.3,1300,0.33,3.938073794256384,3.8852510992783023,3.9991334037764825
1183.609,0.3,1300,0.33,4.42780951147841,4.345358312489604,4.4601753959564805
1183.609,0.3,1300,0.33,4.688181253326136,4.605947147673976,4.80924482983833
1183.609,0.3,1300,0.33,4.679743389858256,4.599136804364471,4.847076221240477
1183.609,0.3,1300,0.33,4.152393904222051,4.090221897661525,4.1999278130380855
1183.609,0.3,1300,0.33,4.3983132023481915,4.324935114113417,4.424369217288148
1183.609,0.3,1300,0.33,5.50572272832788,5.410099129674725,5.5317863919708845
1183.609,0.3,1300,0.33,5.2124194018011405,5.126726870125369,5.322871852215412
1183.609,0.3,1300,0.33,4.058927579908129,3.9775856516666317,4.158200818686464
1183.609,0.3,1300,0.33,5.229487888189269,5.113011515332458,5.31813570729417
1183.609,0.3,1300,0.33,4.345279889652502,4.257565998509981,4.533090911138231
1183.609,0.3,1300,0.33,4.716777844191145,4.644517935718598,4.748094590578904
1183.609,0.3,1300,0.33,5.732982974851909,5.633192482747276,5.842788554663497
1183.609,0.3,1300,0.33,4.374512503735991,4.299496762038216,4.468965305822016
1183.609,0.3,1300,0.33,4.316586870416358,4.230592846622747,4.375040604631093
1183.609,0.3,1300,0.33,4.767367995444496,4.6952309735408715,4.849614743614059
1183.609,0.3,1300,0.33,6.028178273087421,5.876346588571987,6.160892363859271
1183.609,0.3,1300,0.33,5.942798077758004,5.8376112616153035,6.011304866774565
1183.609,0.3,1300,0.33,4.649853125185503,4.591733423271698,4.753158679689533
1183.609,0.3,1300,0.33,5.64068732122567,5.538238126301387,5.8103183830925
1183.609,0.3,1300,0.33,3.85094912156503,3.7686779647679827,3.93710998390003
1183.609,0.3,1300,0.33,4.564458458184601,4.484769283323523,4.541007396447234
1183.609,0.3,1300,0.33,5.7600803794276185,5.636534243266479,5.853211870560079
1183.609,0.3,1300,0.33,4.5363335392826825,4.437764387620612,4.705673941951481
1183.609,0.3,1300,0.33,4.85293412830562,4.78875568122085,4.971066877124488
1183.609,0.3,1300,0.33,5.253806555660671,5.149056444252005,5.464780344889827
1183.609,0.3,1300,0.33,5.932108531394192,5.831792007293517,5.917060596526475
1183.609,0.3,1300,0.33,4.936539523537977,4.847633146987517,4.957185095545732
1183.609,0.3,1300,0.33,4.047292520687275,3.9761165232481317,4.105454448968078
1183.609,0.3,1300,0.33,3.8947537986844036,3.8070886243233675,4.031220393483843
1183.609,0.3,1300,0.33,4.457248930070845,4.386729599126238,4.483491963373936
1183.609,0.3,1300,0.33,5.033390955691866,4.959736041848303,5.135132745574979
1183.609,0.3,1300,0.33,3.3348422536167397,3.2645738876054464,3.4525693815369243
1183.609,0.3,1300,0.33,7.661449832747567,7.456931872645597,7.842987584420077
1183.609,0.3,1300,0.33,9.17068800514708,9.009733591191615,9.100514529671841
1183.609,0.3,1300,0.33,7.783729001547114,7.652870580530572,7.979052218890993
1183.609,0.3,1300,0.33,8.89630366756205,8.740964439740925,9.033994999607176
1183.609,0.3,1300,0.33,8.59272447570084,8.416703992314677,8.53826096650038
1183.609,0.3,1300,0.33,6.119409915540167,6.035372015671034,6.189245551759408
1183.609,0.3,1300,0.33,9.202490771294398,9.053139998787774,9.189219879833228
1183.609,0.3,1300,0.33,8.708751858985133,8.559142453376829,8.963491425244401
1183.609,0.3,1300,0.33,7.756599472928511,7.627659654728857,7.794706246185527
1183.609,0.3,1300,0.33,7.034859192038396,6.877633333089351,7.234549627155676
1183.609,0.3,1300,0.33,7.721921471038906,7.545930092375941,7.6748276556293815
1183.609,0.3,1300,0.33,8.549257396575253,8.341512314236793,8.600830725852067
1183.609,0.3,1300,0.33,8.976005853554874,8.794928991941529,9.00452885095695
1183.609,0.3,1300,0.33,8.077949204654352,7.923659840533216,8.004305862783037
1183.609,0.3,1300,0.33,8.828930897974965,8.66371914226252,9.05243761346236
1183.609,0.3,1300,0.33,8.489550366144636,8.305141943054897,8.627541658203887
1183.609,0.3,1300,0.33,8.075969292713214,7.894955147428341,8.071429066764933
1183.609,0.3,1300,0.33,7.9076031330728425,7.741885549923215,8.05800962189261
1183.609,0.3,1300,0.33,8.003751348359506,7.820415145584489,8.231647379559666
1183.609,0.3,1300,0.33,8.11506501421495,7.938151257975872,8.481685473619274
1183.609,0.3,1300,0.33,7.115621411705112,6.964349507965211,7.4230696486597285
1183.609,0.3,1300,0.33,6.875847858874166,6.781341488437277,6.977020104774075
1183.609,0.3,1300,0.33,7.41219230002382,7.2819367951954215,7.548738264527057
1183.609,0.3,1300,0.33,8.551820827782509,8.381228652950636,8.685543251000368
1183.609,0.3,1300,0.33,7.570049663959958,7.444766616443905,7.988412608819641
1183.609,0.3,1300,0.33,7.071235108418641,6.9363730563384545,7.171885538084628
1183.609,0.3,1300,0.33,9.473282011385349,9.264497655134043,9.54055485077808
1183.609,0.3,1300,0.33,6.693958347551518,6.554359221953507,6.944950698089931
1183.609,0.3,1300,0.33,7.378930348965102,7.255881931623655,7.6656772698952915
1183.609,0.3,1300,0.33,7.6136050657021554,7.486395182364716,7.777482453858744
1183.609,0.3,1300,0.33,7.295109892985118,7.197715690374356,7.467767113334894
1183.609,0.3,1300,0.33,8.125610664303052,8.011181200499085,8.39498887656048
1183.609,0.3,1300,0.33,8.110604637190185,7.944716129611949,8.105351827194042
1183.609,0.3,1300,0.33,8.018554292995736,7.886599472946375,8.114040883611388
1972.681,0.5,1300,0.33,1.4984385497408048,1.4550860899993514,1.962389001240576
1972.681,0.5,1300,0.33,2.279540585967038,2.227282457103679,3.064070727973604
1972.681,0.5,1300,0.33,1.6751391673259255,1.6349122995744498,2.2428093285417376
1972.681,0.5,1300,0.33,1.2569876578833425,1.231482171663769,1.6983147914650731
1972.681,0.5,1300,0.33,2.049177959953141,2.0194264534509276,2.7768334726956554
1972.681,0.5,1300,0.33,0.22517448138928273,0.2196093775188329,0.3014442625485959
1972.681,0.5,1300,0.33,0.8396407156589245,0.8242799696721378,1.1264483919773995
1972.681,0.5,1300,0.33,0.7834269668774204,0.7712877948925868,1.059758404023842
1972.681,0.5,1300,0.33,1.538985897603219,1.5111958712176081,2.0862279611914714
1972.681,0.5,1300,0.33,1.5569655451304643,1.5219573205560022,2.0953474243158317
1972.681,0.5,1300,0.33,1.7132709774525456,1.677542118536771,2.302449046820671
1972.681,0.5,1300,0.33,2.2836228640326435,2.2288062522155005,3.0276300492661994
1972.681,0.5,1300,0.33,2.5538988559897553,2.5068314630186217,3.386100769322749
1972.681,0.5,1300,0.33,2.1656770025793604,2.108038634550357,2.878437780411875
1972.681,0.5,1300,0.33,1.2994428790136436,1.2740641911483308,1.7380435749530387
1972.681,0.5,1300,0.33,2.48141198664964,2.4330043567268564,3.326889555698492
1972.681,0.5,1300,0.33,1.757048918082585,1.7301469241196425,2.358424673648062
1972.681,0.5,1300,0.33,3.3600303242403626,3.292598510100461,4.498973909493196
1972.681,0.5,1300,0.33,2.794124300567109,2.738657767681549,3.7348187443050835
1972.681,0.5,1300,0.33,1.8004219910687032,1.7715979901089784,2.4255350831513747
1972.681,0.5,1300,0.33,1.7726177489008184,1.7400301471619128,2.3837592623112744
1972.681,0.5,1300,0.33,0.9605984242740598,0.9410121519026675,1.2730179532049972
1972.681,0.5,1300,0.33,1.9962829356389846,1.9652717907704453,2.7217147218038926
1972.681,0.5,1300,0.33,0.7146560471372335,0.700703715889923,0.9574990438319542
1972.681,0.5,1300,0.33,2.2854435644568847,2.2394974397866054,3.0357635538715195
1972.681,0.5,1300,0.33,0.13996952352859857,0.13700528096827178,0.18810518278517963
1972.681,0.5,1300,0.33,0.7770524763259953,0.7602900834941724,1.034275761835752
1972.681,0.5,1300,0.33,3.746791562156421,3.683626635192792,5.044588643377321
1972.681,0.5,1300,0.33,3.101676435094694,3.0396504187403486,4.147239386832727
1972.681,0.5,1300,0.33,3.3268485137879704,3.2641744072882344,4.428786003914415
1972.681,0.5,1300,0.33,0.17260024785765354,0.16947503569055358,0.23291534876228162
1972.681,0.5,1300,0.33,0.4502466235052151,0.4416124612533724,0.6027186948194044
1972.681,0.5,1300,0.33,0.5037086454352715,0.49394393633413647,0.676723459223836
1972.681,0.5,1300,0.33,3.938073794256384,3.8852510992783023,5.258922819195451
1972.681,0.5,1300,0.33,4.42780951147841,4.345358312489604,5.9064450681299325
1972.681,0.5,1300,0.33,4.688181253326136,4.605947147673976,6.275761157489676
1972.681,0.5,1300,0.33,4.679743389858256,4.599136804364471,6.3052046342769215
1972.681,0.5,1300,0.33,4.152393904222051,4.090221897661525,5.581002034981406
1972.681,0.5,1300,0.33,4.3983132023481915,4.324935114113417,5.944674812129332
1972.681,0.5,1300,0.33,5.50572272832788,5.410099129674725,7.434158812706812
1972.681,0.5,1300,0.33,5.2124194018011405,5.126726870125369,6.931196563666494
1972.681,0.5,1300,0.33,4.058927579908129,3.9775856516666317,5.39318467382054
1972.681,0.5,1300,0.33,5.229487888189269,5.113011515332458,6.931957605994408
1972.681,0.5,1300,0.33,4.345279889652502,4.257565998509981,5.856112993627239
1972.681,0.5,1300,0.33,4.716777844191145,4.644517935718598,6.371089688603558
1972.681,0.5,1300,0.33,5.732982974851909,5.633192482747276,7.678307258215013
1972.681,0.5,1300,0.33,4.374512503735991,4.299496762038216,5.8834428012082824
1972.681,0.5,1300,0.33,4.316586870416358,4.230592846622747,5.771571744105107
1972.681,0.5,1300,0.33,4.767367995444496,4.6952309735408715,6.457785987426793
1972.681,0.5,1300,0.33,6.028178273087421,5.876346588571987,8.04453587481963
1972.681,0.5,1300,0.33,5.942798077758004,5.8376112616153035,7.9390152320193765
1972.681,0.5,1300,0.33,4.649853125185503,4.591733423271698,6.283843326373057
1972.681,0.5,1300,0.33,5.64068732122567,5.538238126301387,7.600056703553838
1972.681,0.5,1300,0.33,3.85094912156503,3.7686779647679827,5.070996966268693
1972.681,0.5,1300,0.33,4.564458458184601,4.484769283323523,6.13214862444284
1972.681,0.5,1300,0.33,5.7600803794276185,5.636534243266479,7.673587554540203
1972.681,0.5,1300,0.33,4.5363335392826825,4.437764387620612,6.006995687123865
1972.681,0.5,1300,0.33,4.85293412830562,4.78875568122085,6.594646872226786
1972.681,0.5,1300,0.33,5.253806555660671,5.149056444252005,7.035749525259819
1972.681,0.5,1300,0.33,5.932108531394192,5.831792007293517,7.9593403475027165
1972.681,0.5,1300,0.33,4.936539523537977,4.847633146987517,6.679245960344156
1972.681,0.5,1300,0.33,4.047292520687275,3.9761165232481317,5.458919266777205
1972.681,0.5,1300,0.33,3.8947537986844036,3.8070886243233675,5.242647256800007
1972.681,0.5,1300,0.33,4.457248930070845,4.386729599126238,5.937743251733525
1972.681,0.5,1300,0.33,5.033390955691866,4.959736041848303,6.65571475760312
1972.681,0.5,1300,0.33,3.3348422536167397,3.2645738876054464,4.479445852650459
1972.681,0.5,1300,0.33,7.661449832747567,7.456931872645597,10.24309789185558
1972.681,0.5,1300,0.33,9.17068800514708,9.009733591191615,12.32905968779995
1972.681,0.5,1300,0.33,7.783729001547114,7.652870580530572,10.431197301569068
1972.681,0.5,1300,0.33,8.89630366756205,8.740964439740925,11.792747791686121
1972.681,0.5,1300,0.33,8.59272447570084,8.416703992314677,11.567055872555843
1972.681,0.5,1300,0.33,6.119409915540167,6.035372015671034,8.28924718616859
1972.681,0.5,1300,0.33,9.202490771294398,9.053139998787774,12.546445590146106
1972.681,0.5,1300,0.33,8.708751858985133,8.559142453376829,11.623037002818695
1972.681,0.5,1300,0.33,7.756599472928511,7.627659654728857,10.4593148984576
1972.681,0.5,1300,0.33,7.034859192038396,6.877633333089351,9.370809194934806
1972.681,0.5,1300,0.33,7.721921471038906,7.545930092375941,10.465448304026168
1972.681,0.5,1300,0.33,8.549257396575253,8.341512314236793,11.382304853756287
1972.681,0.5,1300,0.33,8.976005853554874,8.794928991941529,12.107300074819564
1972.681,0.5,1300,0.33,8.077949204654352,7.923659840533216,10.816814009380668
1972.681,0.5,1300,0.33,8.828930897974965,8.66371914226252,11.828012634196286
1972.681,0.5,1300,0.33,8.489550366144636,8.305141943054897,11.424648660159235
1972.681,0.5,1300,0.33,8.075969292713214,7.894955147428341,10.87367852162469
1972.681,0.5,1300,0.33,7.9076031330728425,7.741885549923215,10.586965460487665
1972.681,0.5,1300,0.33,8.003751348359506,7.820415145584489,10.732435741770892
1972.681,0.5,1300,0.33,8.11506501421495,7.938151257975872,10.925789815160126
