True_K_S,True_K_S_Ratio,Input_K_S,Input_K_S_Ratio,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
3212.253,0.2,18709,0.483,1.4984385497408048,1.4550860899993514,1.5602108823750762
3212.253,0.2,18709,0.483,2.279540585967038,2.227282457103679,2.4262991401196894
3212.253,0.2,18709,0.483,1.6751391673259255,1.6349122995744498,1.8359329431150722
3212.253,0.2,18709,0.483,1.2569876578833425,1.231482171663769,1.337765719272744
3212.253,0.2,18709,0.483,2.049177959953141,2.0194264534509276,2.1311422499412283
3212.253,0.2,18709,0.483,0.22517448138928273,0.2196093775188329,0.2387970932209294
3212.253,0.2,18709,0.483,0.8396407156589245,0.8242799696721378,0.901243339634726
3212.253,0.2,18709,0.483,0.7834269668774204,0.7712877948925868,0.8306407843289633
3212.253,0.2,18709,0.483,1.538985897603219,1.5111958712176081,1.638791191897597
3212.253,0.2,18709,0.483,1.5569655451304643,1.5219573205560022,1.6907802788846085
3212.253,0.2,18709,0.483,1.7132709774525456,1.677542118536771,1.8624076608242288
3212.253,0.2,18709,0.483,2.2836228640326435,2.2288062522155005,2.4336811773533693
3212.253,0.2,18709,0.483,2.5538988559897553,2.5068314630186217,2.6485371540655867
3212.253,0.2,18709,0.483,2.1656770025793604,2.108038634550357,2.3172925626486083
3212.253,0.2,18709,0.483,1.2994428790136436,1.2740641911483308,1.375642450146811
3212.253,0.2,18709,0.483,2.48141198664964,2.4330043567268564,2.6253508124979987
3212.253,0.2,18709,0.483,1.757048918082585,1.7301469241196425,1.8630002120553752
3212.253,0.2,18709,0.483,3.3600303242403626,3.292598510100461,3.5032062699487807
3212.253,0.2,18709,0.483,2.794124300567109,2.738657767681549,2.9721924708420624
3212.253,0.2,18709,0.483,1.8004219910687032,1.7715979901089784,1.88913571412484
3212.253,0.2,18709,0.483,1.7726177489008184,1.7400301471619128,1.917978302359074
3212.253,0.2,18709,0.483,0.9605984242740598,0.9410121519026675,1.0183341080659307
3212.253,0.2,18709,0.483,1.9962829356389846,1.9652717907704453,2.1095458561080593
3212.253,0.2,18709,0.483,0.7146560471372335,0.700703715889923,0.7431476132250147
3212.253,0.2,18709,0.483,2.2854435644568847,2.2394974397866054,2.3738580077992095
3212.253,0.2,18709,0.483,0.13996952352859857,0.13700528096827178,0.1506676327767812
3212.253,0.2,18709,0.483,0.7770524763259953,0.7602900834941724,0.8021789580283605
3212.253,0.2,18709,0.483,3.746791562156421,3.683626635192792,3.96947697680901
3212.253,0.2,18709,0.483,3.101676435094694,3.0396504187403486,3.3657157546509757
3212.253,0.2,18709,0.483,3.3268485137879704,3.2641744072882344,3.485867246926046
3212.253,0.2,18709,0.483,0.17260024785765354,0.16947503569055358,0.1845833267958361
3212.253,0.2,18709,0.483,0.4502466235052151,0.4416124612533724,0.4905890235927381
3212.253,0.2,18709,0.483,0.5037086454352715,0.49394393633413647,0.5409780861063606
3212.253,0.2,18709,0.483,3.938073794256384,3.8852510992783023,4.071692395147705
3212.253,0.2,18709,0.483,4.42780951147841,4.345358312489604,4.536937713994982
3212.253,0.2,18709,0.483,4.688181253326136,4.605947147673976,4.930616922102572
3212.253,0.2,18709,0.483,4.679743389858256,4.599136804364471,5.1351094890724
3212.253,0.2,18709,0.483,4.152393904222051,4.090221897661525,4.276813317167241
3212.253,0.2,18709,0.483,4.3983132023481915,4.324935114113417,4.541413522619459
3212.253,0.2,18709,0.483,5.50572272832788,5.410099129674725,5.7941640689416305
3212.253,0.2,18709,0.483,5.2124194018011405,5.126726870125369,5.502833295372308
3212.253,0.2,18709,0.483,4.058927579908129,3.9775856516666317,4.261318948961546
3212.253,0.2,18709,0.483,5.229487888189269,5.113011515332458,5.459005903176742
3212.253,0.2,18709,0.483,4.345279889652502,4.257565998509981,4.758529324809343
3212.253,0.2,18709,0.483,4.716777844191145,4.644517935718598,4.959618648084834
3212.253,0.2,18709,0.483,5.732982974851909,5.633192482747276,6.053462555980482
3212.253,0.2,18709,0.483,4.374512503735991,4.299496762038216,4.634272184746963
3212.253,0.2,18709,0.483,4.316586870416358,4.230592846622747,4.53955125445791
3212.253,0.2,18709,0.483,4.767367995444496,4.6952309735408715,5.0223236729921945
3212.253,0.2,18709,0.483,6.028178273087421,5.876346588571987,6.489409253172515
3212.253,0.2,18709,0.483,5.942798077758004,5.8376112616153035,6.218720440720162
3212.253,0.2,18709,0.483,4.649853125185503,4.591733423271698,4.911212936142886
3212.253,0.2,18709,0.483,5.64068732122567,5.538238126301387,6.0565784512696075
3212.253,0.2,18709,0.483,3.85094912156503,3.7686779647679827,3.9214228139112697
3212.253,0.2,18709,0.483,4.564458458184601,4.484769283323523,4.736015704129883
3212.253,0.2,18709,0.483,5.7600803794276185,5.636534243266479,6.03138788730548
3212.253,0.2,18709,0.483,4.5363335392826825,4.437764387620612,4.803301651063941
3212.253,0.2,18709,0.483,4.85293412830562,4.78875568122085,5.140929318334492
3212.253,0.2,18709,0.483,5.253806555660671,5.149056444252005,5.62365006030349
3212.253,0.2,18709,0.483,5.932108531394192,5.831792007293517,6.238958142649388
3212.253,0.2,18709,0.483,4.936539523537977,4.847633146987517,5.240345778901078
3212.253,0.2,18709,0.483,4.047292520687275,3.9761165232481317,4.317424524710734
3212.253,0.2,18709,0.483,3.8947537986844036,3.8070886243233675,4.213760255058854
3212.253,0.2,18709,0.483,4.457248930070845,4.386729599126238,4.7070643980331
3212.253,0.2,18709,0.483,5.033390955691866,4.959736041848303,5.225112180623038
3212.253,0.2,18709,0.483,3.3348422536167397,3.2645738876054464,3.577553052996231
3212.253,0.2,18709,0.483,7.661449832747567,7.456931872645597,8.23794981887649
3212.253,0.2,18709,0.483,9.17068800514708,9.009733591191615,9.436131242389468
3212.253,0.2,18709,0.483,7.783729001547114,7.652870580530572,8.202337426670457
3212.253,0.2,18709,0.483,8.89630366756205,8.740964439740925,9.009080179465457
3212.253,0.2,18709,0.483,8.59272447570084,8.416703992314677,9.109373600104616
3212.253,0.2,18709,0.483,6.119409915540167,6.035372015671034,6.424359992832485
3212.253,0.2,18709,0.483,9.202490771294398,9.053139998787774,9.958257326263452
3212.253,0.2,18709,0.483,8.708751858985133,8.559142453376829,9.280846933078779
3212.253,0.2,18709,0.483,7.756599472928511,7.627659654728857,8.323746809518962
3212.253,0.2,18709,0.483,7.034859192038396,6.877633333089351,7.371547777097134
3212.253,0.2,18709,0.483,7.721921471038906,7.545930092375941,8.233407432884867
3212.253,0.2,18709,0.483,8.549257396575253,8.341512314236793,9.041959898771976
3212.253,0.2,18709,0.483,8.976005853554874,8.794928991941529,9.233169896385164
3212.253,0.2,18709,0.483,8.077949204654352,7.923659840533216,8.334244199491007
3212.253,0.2,18709,0.483,8.828930897974965,8.66371914226252,9.346673510010943
3212.253,0.2,18709,0.483,8.489550366144636,8.305141943054897,8.976716692833138
3212.253,0.2,18709,0.483,8.075969292713214,7.894955147428341,8.541092222171406
3212.253,0.2,18709,0.483,7.9076031330728425,7.741885549923215,8.301193288594428
3212.253,0.2,18709,0.483,8.003751348359506,7.820415145584489,8.507193199580815
3212.253,0.2,18709,0.483,8.11506501421495,7.938151257975872,8.75445766894186
3212.253,0.2,18709,0.483,7.115621411705112,6.964349507965211,7.758567858099654
3212.253,0.2,18709,0.483,6.875847858874166,6.781341488437277,7.136900405936194
3212.253,0.2,18709,0.483,7.41219230002382,7.2819367951954215,7.730922085469622
3212.253,0.2,18709,0.483,8.551820827782509,8.381228652950636,8.843473149269137
3212.253,0.2,18709,0.483,7.570049663959958,7.444766616443905,8.310386743622372
3212.253,0.2,18709,0.483,7.071235108418641,6.9363730563384545,7.414816861374322
3212.253,0.2,18709,0.483,9.473282011385349,9.264497655134043,9.895196595109278
3212.253,0.2,18709,0.483,6.693958347551518,6.554359221953507,7.195865699822981
3212.253,0.2,18709,0.483,7.378930348965102,7.255881931623655,7.759561648999264
3212.253,0.2,18709,0.483,7.6136050657021554,7.486395182364716,8.03835322676534
3212.253,0.2,18709,0.483,7.295109892985118,7.197715690374356,7.771639612701417
3212.253,0.2,18709,0.483,8.125610664303052,8.011181200499085,8.817027571066566
3212.253,0.2,18709,0.483,8.110604637190185,7.944716129611949,8.124628654199688
3212.253,0.2,18709,0.483,8.018554292995736,7.886599472946375,8.253509191673084
7227.57,0.3,18709,0.483,1.4984385497408048,1.4550860899993514,1.550567743496977
7227.57,0.3,18709,0.483,2.279540585967038,2.227282457103679,2.40864681686145
7227.57,0.3,18709,0.483,1.6751391673259255,1.6349122995744498,1.8116381749608348
7227.57,0.3,18709,0.483,1.2569876578833425,1.231482171663769,1.3307984520321623
7227.57,0.3,18709,0.483,2.049177959953141,2.0194264534509276,2.1055352075564047
7227.57,0.3,18709,0.483,0.22517448138928273,0.2196093775188329,0.2373812240617857
7227.57,0.3,18709,0.483,0.8396407156589245,0.8242799696721378,0.8910827365063222
7227.57,0.3,18709,0.483,0.7834269668774204,0.7712877948925868,0.8253450669024841
7227.57,0.3,18709,0.483,1.538985897603219,1.5111958712176081,1.6249203765606943
7227.57,0.3,18709,0.483,1.5569655451304643,1.5219573205560022,1.6730591818997937
7227.57,0.3,18709,0.483,1.7132709774525456,1.677542118536771,1.8482268691239578
7227.57,0.3,18709,0.483,2.2836228640326435,2.2288062522155005,2.4136660810676407
7227.57,0.3,18709,0.483,2.5538988559897553,2.5068314630186217,2.6467833823051143
7227.57,0.3,18709,0.483,2.1656770025793604,2.108038634550357,2.297448061902254
7227.57,0.3,18709,0.483,1.2994428790136436,1.2740641911483308,1.365334585842089
7227.57,0.3,18709,0.483,2.48141198664964,2.4330043567268564,2.606778373478552
7227.57,0.3,18709,0.483,1.757048918082585,1.7301469241196425,1.844442333443209
7227.57,0.3,18709,0.483,3.3600303242403626,3.292598510100461,3.47077526037062
7227.57,0.3,18709,0.483,2.794124300567109,2.738657767681549,2.953907643048816
7227.57,0.3,18709,0.483,1.8004219910687032,1.7715979901089784,1.8843013640291428
7227.57,0.3,18709,0.483,1.7726177489008184,1.7400301471619128,1.9009242566512032
7227.57,0.3,18709,0.483,0.9605984242740598,0.9410121519026675,1.0100171102781954
7227.57,0.3,18709,0.483,1.9962829356389846,1.9652717907704453,2.096407100577155
7227.57,0.3,18709,0.483,0.7146560471372335,0.700703715889923,0.7377099857020578
7227.57,0.3,18709,0.483,2.2854435644568847,2.2394974397866054,2.3480837392044176
7227.57,0.3,18709,0.483,0.13996952352859857,0.13700528096827178,0.1492014943847038
7227.57,0.3,18709,0.483,0.7770524763259953,0.7602900834941724,0.8008574899185406
7227.57,0.3,18709,0.483,3.746791562156421,3.683626635192792,3.94612537505701
7227.57,0.3,18709,0.483,3.101676435094694,3.0396504187403486,3.3381859809420744
