True_K_U,True_K_U_Ratio,Input_K_U,Input_K_U_Ratio,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
43241.87,2.0,127200,3.43,1.4984385497408048,1.4550860899993514,0.9893150181000586
43241.87,2.0,127200,3.43,2.279540585967038,2.227282457103679,1.4837745460916365
43241.87,2.0,127200,3.43,1.6751391673259255,1.6349122995744498,1.0303312086461847
43241.87,2.0,127200,3.43,1.2569876578833425,1.231482171663769,0.8316241987018239
43241.87,2.0,127200,3.43,2.049177959953141,2.0194264534509276,1.3887977600428942
43241.87,2.0,127200,3.43,0.22517448138928273,0.2196093775188329,0.14475961285104777
43241.87,2.0,127200,3.43,0.8396407156589245,0.8242799696721378,0.5374193185748137
43241.87,2.0,127200,3.43,0.7834269668774204,0.7712877948925868,0.5136707982558719
43241.87,2.0,127200,3.43,1.538985897603219,1.5111958712176081,0.994891647565567
43241.87,2.0,127200,3.43,1.5569655451304643,1.5219573205560022,1.0223807177713027
43241.87,2.0,127200,3.43,1.7132709774525456,1.677542118536771,1.0782845728370178
43241.87,2.0,127200,3.43,2.2836228640326435,2.2288062522155005,1.5253958416605
43241.87,2.0,127200,3.43,2.5538988559897553,2.5068314630186217,1.7031864774954801
43241.87,2.0,127200,3.43,2.1656770025793604,2.108038634550357,1.3576573624727981
43241.87,2.0,127200,3.43,1.2994428790136436,1.2740641911483308,0.8450986278735609
43241.87,2.0,127200,3.43,2.48141198664964,2.4330043567268564,1.5901798198686699
43241.87,2.0,127200,3.43,1.757048918082585,1.7301469241196425,1.1395244195662235
43241.87,2.0,127200,3.43,3.3600303242403626,3.292598510100461,2.218673314343366
43241.87,2.0,127200,3.43,2.794124300567109,2.738657767681549,1.815143894628405
43241.87,2.0,127200,3.43,1.8004219910687032,1.7715979901089784,1.1740051626935954
43241.87,2.0,127200,3.43,1.7726177489008184,1.7400301471619128,1.1331198837798815
43241.87,2.0,127200,3.43,0.9605984242740598,0.9410121519026675,0.6348362199886942
43241.87,2.0,127200,3.43,1.9962829356389846,1.9652717907704453,1.3079181686847405
43241.87,2.0,127200,3.43,0.7146560471372335,0.700703715889923,0.47163074169805874
43241.87,2.0,127200,3.43,2.2854435644568847,2.2394974397866054,1.5482941167127473
43241.87,2.0,127200,3.43,0.13996952352859857,0.13700528096827178,0.09094814010864144
43241.87,2.0,127200,3.43,0.7770524763259953,0.7602900834941724,0.521336020741604
43241.87,2.0,127200,3.43,3.746791562156421,3.683626635192792,2.4690100966596673
43241.87,2.0,127200,3.43,3.101676435094694,3.0396504187403486,2.014882820171912
43241.87,2.0,127200,3.43,3.3268485137879704,3.2641744072882344,2.212266132482868
43241.87,2.0,127200,3.43,0.17260024785765354,0.16947503569055358,0.1123676956654885
43241.87,2.0,127200,3.43,0.4502466235052151,0.4416124612533724,0.2906188825116306
43241.87,2.0,127200,3.43,0.5037086454352715,0.49394393633413647,0.3269368183014826
43241.87,2.0,127200,3.43,3.938073794256384,3.8852510992783023,2.6431274818465984
43241.87,2.0,127200,3.43,4.42780951147841,4.345358312489604,3.0267451873052766
43241.87,2.0,127200,3.43,4.688181253326136,4.605947147673976,3.1196910718655335
43241.87,2.0,127200,3.43,4.679743389858256,4.599136804364471,2.955487688786295
43241.87,2.0,127200,3.43,4.152393904222051,4.090221897661525,2.9021664680817745
43241.87,2.0,127200,3.43,4.3983132023481915,4.324935114113417,2.9058068039500613
43241.87,2.0,127200,3.43,5.50572272832788,5.410099129674725,3.6978283459528467
43241.87,2.0,127200,3.43,5.2124194018011405,5.126726870125369,3.422861770951591
43241.87,2.0,127200,3.43,4.058927579908129,3.9775856516666317,2.5984828343159014
43241.87,2.0,127200,3.43,5.229487888189269,5.113011515332458,3.509707228750022
43241.87,2.0,127200,3.43,4.345279889652502,4.257565998509981,2.688606627870857
43241.87,2.0,127200,3.43,4.716777844191145,4.644517935718598,3.175507114460658
43241.87,2.0,127200,3.43,5.732982974851909,5.633192482747276,3.787600452242043
43241.87,2.0,127200,3.43,4.374512503735991,4.299496762038216,2.871998823757409
43241.87,2.0,127200,3.43,4.316586870416358,4.230592846622747,2.936816038921638
43241.87,2.0,127200,3.43,4.767367995444496,4.6952309735408715,3.1464815560919885
